TITLE,DESCRIPTION,TYPE,STATUS,PRICE,QUANTITY,TAGS,MATERIALS,IMAGE1
"Dark Academia Botanical Print - Vintage Apothecary Wall Art","Dark Academia Botanical Print - Vintage Apothecary Wall Art","physical","active",25.00,999,"digital art, print on demand, wall decor","print on demand","images/prod_1776527229964_1_design.png"
"Cyberpunk Cityscape LED Desk Mat - Neo Tokyo Gaming Accessory","Cyberpunk Cityscape LED Desk Mat - Neo Tokyo Gaming Accessory","physical","active",25.00,999,"digital art, print on demand, wall decor","print on demand","images/prod_1776527229964_2_design.png"
"Memento Mori Stoic Philosophy Coffee Tumbler","Memento Mori Stoic Philosophy Coffee Tumbler","physical","active",25.00,999,"digital art, print on demand, wall decor","print on demand","images/prod_1776527229964_3_design.png"
"Dark Academia Botanical Print - Vintage Apothecary Wall Art","Dark Academia Botanical Print - Vintage Apothecary Wall Art","physical","active",25.00,999,"digital art, print on demand, wall decor","print on demand","images/prod_1776528001887_1_design.png"
"Cyberpunk Cityscape LED Desk Mat - Neo Tokyo Gaming Accessory","Cyberpunk Cityscape LED Desk Mat - Neo Tokyo Gaming Accessory","physical","active",25.00,999,"digital art, print on demand, wall decor","print on demand","images/prod_1776528001887_2_design.png"
"Memento Mori Stoic Philosophy Coffee Tumbler","Memento Mori Stoic Philosophy Coffee Tumbler","physical","active",25.00,999,"digital art, print on demand, wall decor","print on demand","images/prod_1776528001887_3_design.png"
"Dark Academia Botanical Print - Vintage Apothecary Wall Art","Dark Academia Botanical Print - Vintage Apothecary Wall Art","physical","active",25.00,999,"digital art, print on demand, wall decor","print on demand","images/prod_1776528901611_1_design.png"
"Cyberpunk Cityscape LED Desk Mat - Neo Tokyo Gaming Accessory","Cyberpunk Cityscape LED Desk Mat - Neo Tokyo Gaming Accessory","physical","active",25.00,999,"digital art, print on demand, wall decor","print on demand","images/prod_1776528901611_2_design.png"
"Memento Mori Stoic Philosophy Coffee Tumbler","Memento Mori Stoic Philosophy Coffee Tumbler","physical","active",25.00,999,"digital art, print on demand, wall decor","print on demand","images/prod_1776528901611_3_design.png"
"Dark Academia Botanical Print - Vintage Apothecary Wall Art","Dark Academia Botanical Print - Vintage Apothecary Wall Art","physical","active",25.00,999,"digital art, print on demand, wall decor","print on demand","images/prod_1776529801550_1_design.png"
"Dark Academia Botanical Print - Vintage Apothecary Wall Art","Dark Academia Botanical Print - Vintage Apothecary Wall Art","physical","active",25.00,999,"digital art, print on demand, wall decor","print on demand","images/prod_1776692701745_1_design.png"
"Cyberpunk Cityscape LED Desk Mat - Neo Tokyo Gaming Accessory","Cyberpunk Cityscape LED Desk Mat - Neo Tokyo Gaming Accessory","physical","active",25.00,999,"digital art, print on demand, wall decor","print on demand","images/prod_1776692701745_2_design.png"
"Memento Mori Stoic Philosophy Coffee Tumbler","Memento Mori Stoic Philosophy Coffee Tumbler","physical","active",25.00,999,"digital art, print on demand, wall decor","print on demand","images/prod_1776692701745_3_design.png"
